Activity_ID,Actvity,Activity_Desc,Trait_ID,Activity_Note
1052,play football,,105,
1054,play basketball,,105,
1056,play baseball,,105,
1057,play softball,,105,
1058,play golf,,105,
1060,play soccer,,105,
1062,play tennis,,105,
1064,play volleyball,,105,
1066,swim,,105,
1068,play hockey,,105,
1069,play roller hockey,,105,
1070,sprint,"track and field: compete in the 100 m, 200 m, 400 m, or other short-distance race",105,
1071,run hurdles,"track and field: compete in the 110 m, 410 m, or other hurdles race",105,
1072,run middle-distance,"track and field: compete in the 800 m, 1,500 m, 1 mile, or other middle-distance race",105,
1073,run long-distance,"track and field: compete in the 5,000 m (cross-country), 10,000 m, half-marathon, marathon, or other long-distance race",105,
1074,run relays,"track and field: compete in the 4x100 m, 4x400 m, or similar relay race",105,
1075,throw,"track and field: throw the discus, javelin, shot put, hammer, or other events that involve throwing",105,
1076,jump,"track and field: jump in the high jump, long jump, triple jump, pole vault, or other events that involve jumping",105,
1077,combined,"track and field: compete in the decathlon, heptathlon, or other combined event",105,
1080,play rugby,,105,
1082,play water polo,,105,
1084,play lacrosse,,105,
1086,crew,,105,
1088,box,,105,
1090,play ultimate frisbee,,105,
1091,play frisbee golf,,105,
1092,play archery,,105,
1102,walk,"walk on streets, roads, and urban trails",110,
1104,run - road,"run on streets, roads, and urban trails",110,
1106,bike - road,"bike on streets, roads, and urban trails",110,
1108,lift weights,lift weights to tone and build muscle,110,
1110,aerobics,do aerobics for aerobic fitness,110,
1112,yoga,do yoga for mental and physical balance and wellness,110,
1114,pilates,do pilates,110,
1152,karate,,115,
1154,taekwando,,115,
1156,judo,,115,
1158,jujitsu,,115,
1202,hike,hike on wildeness trails,120,
1204,run - trails,run on wilderness trails,120,
1206,bike - mountain,bike on wilderness trails,120,
1208,climb,,120,
1210,sail,,120,
1211,yacht,,120,
1212,kayak,,120,
1213,raft,,120,
1214,ice skate,,120,
1215,roller skate,,120,
1216,roller blade,,120,
1218,surf,,120,
1219,boogey board,,120,
1220,body surf,,120,
1222,skate board,,120,
1224,ski,,120,
1225,ski - back country,,120,
1226,snow board,,120,
1228,wind surf,,120,
1229,kite surf,,120,
1230,wake board,,120,
